file	line	terms	excerpt
CLAUDE.md	3	retenção	Sistema de gestão operacional e BI para rede de escolas de música. Pipeline comercial, gestão de alunos, metas, retenção, professores, salas e projetos.
CLAUDE.md	36	kpi	- **Hooks:** prefixo `use`, camelCase (ex: `useKPIsComercial`)
CLAUDE.md	55	matricula	- Tabelas principais: `unidades`, `alunos`, `leads`, `matriculas`, `renovacoes`, `evasoes`, `professores`, `turmas`, `cursos`, `dados_mensais`, `metas`
CLAUDE.md	56	kpi	- RPC functions para queries complexas (ex: `get_kpis_consolidados`, `get_kpis_professor_periodo`)
CLAUDE.md	59	matrícula	- **`alunos` = matrículas, não pessoas** (pessoa = `nome`+`unidade_id`; 2 cursos = 2 linhas, 1 `is_segundo_curso=false` + N `true`). 2 linhas com mesmo `curso_id` da mesma pessoa = duplicata, não segundo curso. Detalh...
CLAUDE.md	60	matrícula	- **`alunos_arquivados`**: lixeira oficial para arquivar matrículas duplicadas/erradas (move a linha + DELETE de `alunos`). Não criar `*_backup_<data>`. ⚠️ Sync de presença ignora `status` — só sair de `alunos` para o...
CLAUDE.md	78	kpi	- **`TabPerformanceProfessores`**: tabela de KPIs por professor, dados via RPC `get_kpis_professor_periodo`
CLAUDE.md	82	retencao	- **`ModalDetalhesRetencao`**: detalhe de renovações/não-renovações/evasões com mesma lógica de score que o modal de evasões
CLAUDE.md	83	conversao,conversão,matrícula	- **`ModalDetalhesConversao`**: detalhe lead-a-lead da taxa de conversão. Classifica leads em 6 categorias (Realizou+Matriculou, Realizou sem matrícula, Faltou, Matriculou sem realizar, Matrícula direta, Agendada/Pend...
CLAUDE.md	84	conversão,retenção	- **Modais aceitam range de datas**: todos os 4 modais (Presença, Evasões, Retenção, Conversão) recebem props opcionais `dataInicio`/`dataFim`/`periodoLabel` para funcionar tanto em modo Mensal quanto Trimestral.
CLAUDE.md	87	evasao,matricula,matrícula	- **Edge function `processar-matricula-emusys` v12** (2026-05-07): mantém matching em camadas + backfill `emusys_matricula_id` + fallback de telefone. **Novo**: `handleEvasao` chama `registrarPassagemFinalizada` que g...
CLAUDE.md	90	ltv,permanência	## Módulo de Histórico LTV (Tempo de Permanência)
CLAUDE.md	92	kpi,ltv	- **`TabHistoricoLTV`**: tela de ex-alunos. 4 KPIs (Total, Tempo Médio, **Taxa de Retorno** = % pessoas com 2+ passagens, Sistema). Tabela com edição inline + botão `History` (abrir passagens) + botão `Trash2` (DELETE...
CLAUDE.md	93	ltv,matrícula	- **Hook `useHistoricoLTV`**: usa RPC `get_historico_ltv(p_unidade_id)` que une `alunos_historico` (anulado=false) + `alunos` agrupados por pessoa (`NOT EXISTS` matrícula viva). Retorna `qtd_passagens_pessoa` via wind...
CLAUDE.md	95	matrícula	- **Edge function v12 + RPC** centralizam a regra "saiu de tudo": tempo só conta quando aluno encerra TODAS as matrículas. Trigger `fn_alunos_reentrada_historico` simplificada (só zera `data_saida` na reentrada — INSE...
CLAUDE.md	96	ltv,permanência	- Detalhes: `regras-negocio.md` seção "Histórico LTV / Tempo de Permanência".
INSTRUCOES_MIGRATIONS.md	186	evasao	ALTER TABLE motivos_evasao ENABLE ROW LEVEL SECURITY;
INSTRUCOES_MIGRATIONS.md	187	evasao	DROP POLICY IF EXISTS "motivos_evasao_select_policy" ON motivos_evasao;
INSTRUCOES_MIGRATIONS.md	188	evasao	CREATE POLICY "motivos_evasao_select_policy" ON motivos_evasao FOR SELECT USING (true);
constants.tsx	25	matricula	matriculasAno: 271,
constants.tsx	30	permanencia	permanenciaMeses: 19,
